"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",2.0272541266957,1,339,2.0272541266957,0.00594455165141303,0.0330305780125794,2.19658793916359e-05
"2","poly(pca1_clima, 2)2",58.5284320321293,1,339,58.5284320321293,0.147230807449262,0.218988576756995,0.0860304915757749
"3","poly(Corg_percent, 2)1",3.79249143207616,1,339,3.79249143207616,0.0110635195544464,0.0436267288596088,0.000123783272271029
"4","poly(Corg_percent, 2)2",17.4421398948154,1,339,17.4421398948154,0.0489340006205847,0.101706891200649,0.0142152433617324
"5","pH",0.968661045281792,1,339,0.968661045281792,0.00284926570085462,0.0251894666956476,7.64070538237171e-06
"6","poly(cover_litter, 2)1",0.335584443332313,1,339,0.335584443332313,0.00098894562998109,0.019052300997631,4.05801980062684e-06
"7","poly(cover_litter, 2)2",5.50736014992604,1,339,5.50736014992604,0.0159861900991877,0.0525648759496577,0.000549402954294759
"8","grazing_intencity",0.267464815693033,1,339,0.267464815693033,0.000788359755741192,0.0182573066501193,3.79082965272976e-06
"9","mowing1",0.000754810150344657,1,339,0.000754810150344657,2.22657365694472e-06,0.0147429301302112,2.90342148392476e-06
"10","Model",12.9731276554813,9,339,116.758148899332,0.256184446029777,0.344741515725519,0.197461880494645
